step,y,x,rotation
1,2137327,-732017,120
2,2093353.931,-723052.1724,120
3,2047810.395,-713767.1724,120
4,2002266.86,-704482.1724,120
5,1956723.324,-695197.1724,120
6,1911179.788,-685912.1724,120
7,1865636.252,-676627.1724,120
8,1820092.717,-667342.1724,120
9,1774549.181,-658057.1724,120
10,1729005.645,-648772.1724,120
11,1683462.11,-639487.1724,120
12,1637918.574,-630202.1724,120
13,1592375.038,-620917.1724,120
14,1546831.502,-611632.1724,120
15,1501287.967,-602347.1724,120
16,1455744.431,-593062.1724,120
17,1410200.895,-583777.1724,120
18,1364657.36,-574492.1724,120
19,1319113.824,-565207.1724,120
20,1273570.288,-555922.1724,120
21,1228026.752,-546637.1724,120
22,1182483.217,-537352.1724,120
23,1136939.681,-528067.1724,120
24,1091396.145,-518782.1724,120
25,1045852.61,-509497.1724,120
26,1000309.074,-500212.1724,120
27,954765.5382,-490927.1724,120
28,909222.0025,-481642.1724,120
29,863678.4667,-472357.1724,120
30,862108,-472037,120
31,816564.4643,-462752,175
32,771020.9286,-453467,175
33,725477.3929,-444182,175
34,679933.8571,-434897,175
35,634390.3214,-425612,175
36,588846.7857,-416327,175
37,543303.25,-407042,175
38,497759.7143,-397757,175
39,452216.1786,-388472,175
40,406672.6429,-379187,175
41,361129.1071,-369902,175
42,315585.5714,-360617,175
43,270042.0357,-351332,175
44,224498.5,-342047,175
45,178954.9643,-332762,175
46,133411.4286,-323477,175
47,87867.89286,-314192,175
48,42324.35714,-304907,175
49,-3219.178571,-295622,175
50,-48762.71429,-286337,175
51,-94306.25,-277052,175
52,-139849.7857,-267767,175
53,-185393.3214,-258482,175
54,-230936.8571,-249197,175
55,-276480.3929,-239912,175
56,-322023.9286,-230627,175
57,-367567.4643,-221342,175
58,-411540.5333,-212377.1724,175
59,2137327,-732017,175
60,2137327,-732017,120
61,2093353.931,-723052.1724,120
62,2047810.395,-713767.1724,120
63,2002266.86,-704482.1724,120
64,1956723.324,-695197.1724,120
65,1911179.788,-685912.1724,120
66,1865636.252,-676627.1724,120
67,1820092.717,-667342.1724,120
68,1774549.181,-658057.1724,120
69,1729005.645,-648772.1724,120
70,1683462.11,-639487.1724,120
71,1637918.574,-630202.1724,120
72,1592375.038,-620917.1724,120
73,1546831.502,-611632.1724,120
74,1501287.967,-602347.1724,120
75,1455744.431,-593062.1724,120
76,1410200.895,-583777.1724,120
77,1364657.36,-574492.1724,120
78,1319113.824,-565207.1724,120
79,1273570.288,-555922.1724,120
80,1228026.752,-546637.1724,120
81,1182483.217,-537352.1724,120
82,1136939.681,-528067.1724,120
83,1091396.145,-518782.1724,120
84,1045852.61,-509497.1724,120
85,1000309.074,-500212.1724,120
86,954765.5382,-490927.1724,120
87,909222.0025,-481642.1724,120
88,863678.4667,-472357.1724,120
89,862108,-472037,120
90,816564.4643,-462752,175
91,771020.9286,-453467,175
92,725477.3929,-444182,175
93,679933.8571,-434897,175
94,634390.3214,-425612,175
95,588846.7857,-416327,175
96,543303.25,-407042,175
97,497759.7143,-397757,175
98,452216.1786,-388472,175
99,406672.6429,-379187,175
100,361129.1071,-369902,175
101,315585.5714,-360617,175
102,270042.0357,-351332,175
103,224498.5,-342047,175
104,178954.9643,-332762,175
105,133411.4286,-323477,175
106,87867.89286,-314192,175
